case_id,eps,min_samples,runtime_seconds,clusters,noise_rate,internal_metric_points,ari,nmi,silhouette,selection_score,selected
aggregation,0.12,5,0.002718083997024223,7,0.024111675126903553,769,0.963292402845298,0.9604015954867806,0.4860013720032317,0.963292402845298,True
aggregation,0.15,8,0.0028123329975642264,7,0.030456852791878174,764,0.9601297989375395,0.9556944392474886,0.4875707411867328,0.9601297989375395,False
aggregation,0.2,15,0.0029087910006637685,7,0.030456852791878174,764,0.9572605025494255,0.9542437389313753,0.4916406280603295,0.9572605025494255,False
aggregation,0.2,10,0.0029268750004121102,6,0.0,788,0.9097222076744425,0.9474586019072934,0.4623387833048385,0.9097222076744425,False
aggregation,0.25,15,0.0033167500005220063,6,0.0,788,0.9097222076744425,0.9474586019072934,0.4623387833048385,0.9097222076744425,False
aggregation,0.15,3,0.0028390410006977618,5,0.0,788,0.8089434170360936,0.8894055132776747,0.37039256879370025,0.8089434170360936,False
aggregation,0.2,3,0.002892791002523154,5,0.0,788,0.8089434170360936,0.8894055132776747,0.37039256879370025,0.8089434170360936,False
aggregation,0.2,5,0.0034154169989051297,5,0.0,788,0.8089434170360936,0.8894055132776747,0.37039256879370025,0.8089434170360936,False
aggregation,0.2,8,0.0033562499957042746,5,0.0,788,0.8089434170360936,0.8894055132776747,0.37039256879370025,0.8089434170360936,False
aggregation,0.25,3,0.0033422920023440383,5,0.0,788,0.8089434170360936,0.8894055132776747,0.37039256879370025,0.8089434170360936,False
aggregation,0.25,5,0.003128249998553656,5,0.0,788,0.8089434170360936,0.8894055132776747,0.37039256879370025,0.8089434170360936,False
aggregation,0.25,8,0.003352416002599057,5,0.0,788,0.8089434170360936,0.8894055132776747,0.37039256879370025,0.8089434170360936,False
aggregation,0.25,10,0.0035372499987715855,5,0.0,788,0.8089434170360936,0.8894055132776747,0.37039256879370025,0.8089434170360936,False
aggregation,0.15,5,0.00424337499862304,5,0.0012690355329949238,787,0.8073546017279548,0.8871432335927903,0.3712957496403394,0.8073546017279548,False
aggregation,0.12,3,0.0028157500055385754,5,0.005076142131979695,784,0.8011441802768626,0.8799190081629347,0.3732303262642311,0.8011441802768626,False
aggregation,0.15,10,0.0028738749970216304,11,0.1383248730964467,679,0.791638162423909,0.8108488872925199,0.3555513937306505,0.791638162423909,False
aggregation,0.1,3,0.003345749995787628,13,0.04187817258883249,755,0.7817070369634618,0.8187909561405071,0.1588031653882999,0.7817070369634618,False
aggregation,0.3,3,0.005684249998012092,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.3,5,0.004328542003349867,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.3,8,0.004112083996005822,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.3,10,0.00393074999738019,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.3,15,0.0037379999994300306,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.4,3,0.004229375001159497,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.4,5,0.004232208993926179,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.4,8,0.004056082994793542,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.4,10,0.004603124994901009,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.4,15,0.00407029200141551,4,0.0,788,0.7338255908338442,0.8358524361747061,0.44888631766542825,0.7338255908338442,False
aggregation,0.1,5,0.0026377500034868717,37,0.25888324873096447,584,0.5205095476507712,0.6168997373654124,0.2844973428346749,0.5205095476507712,False
aggregation,0.12,8,0.003049541999644134,20,0.3883248730964467,482,0.4530538672538685,0.6048388593930688,0.4624609951628477,0.4530538672538685,False
aggregation,0.08,3,0.0023675830016145483,70,0.2652284263959391,579,0.09501453657724904,0.4888712474317915,0.20302012441713527,0.09501453657724904,False
aggregation,0.12,10,0.0025349999996251427,7,0.8236040609137056,139,0.026558898474530922,0.2999382526026947,0.6729134173205468,0.026558898474530922,False
aggregation,0.1,8,0.0024527920031687245,4,0.9467005076142132,42,0.021274041582583756,0.1446687558553596,0.5186139014626484,0.021274041582583756,False
aggregation,0.08,5,0.0023473330002161674,19,0.8388324873096447,127,0.005828126808388856,0.23371502061488125,0.5374849069957682,0.005828126808388856,False
aggregation,0.15,15,0.0026334169961046427,4,0.8604060913705583,110,0.0030692369137500504,0.2499250047197559,0.5730834191708613,0.0030692369137500504,False
aggregation,0.05,5,0.002420709002763033,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.05,8,0.0021657910037902184,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.05,10,0.002251792000606656,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.05,15,0.0025570420039002784,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.08,8,0.002289584001118783,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.08,10,0.0023287500007427298,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.08,15,0.00255454199941596,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.1,10,0.0022565830004168674,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.1,15,0.0028827089990954846,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.12,15,0.002515166997909546,0,1.0,0,0.0,0.0,,0.0,False
aggregation,0.55,3,0.004681834005168639,1,0.0,788,0.0,0.0,,0.0,False
aggregation,0.55,5,0.004077083001902793,1,0.0,788,0.0,0.0,,0.0,False
aggregation,0.55,8,0.004086749999260064,1,0.0,788,0.0,0.0,,0.0,False
aggregation,0.55,10,0.0042195419955533,1,0.0,788,0.0,0.0,,0.0,False
aggregation,0.55,15,0.004120707999391016,1,0.0,788,0.0,0.0,,0.0,False
aggregation,0.05,3,0.005075917004432995,8,0.9682741116751269,25,-0.001832921248642042,0.054318326972403526,0.8681686965154092,-0.001832921248642042,False
