row_0,Complex,Creep,Debris Flow,Lahar,Landslide,Mudslide,Other,Riverbank Collapse,Rockfall,Rockslide,Snow Avalanche,Unknown
-1,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0,0.013392857142857142,0.004464285714285714,0.0,0.001488095238095238,0.4494047619047619,0.47619047619047616,0.008928571428571428,0.002976190476190476,0.04017857142857143,0.0,0.001488095238095238,0.001488095238095238
1,0.03546099290780142,0.0,0.0,0.0070921985815602835,0.6453900709219859,0.2695035460992908,0.0,0.0,0.0425531914893617,0.0,0.0,0.0
2,0.02535211267605634,0.0,0.008450704225352112,0.0,0.7154929577464789,0.18591549295774648,0.01971830985915493,0.005633802816901409,0.03943661971830986,0.0,0.0,0.0
3,0.14473684210526316,0.0,0.0,0.0,0.6447368421052632,0.19736842105263158,0.013157894736842105,0.0,0.0,0.0,0.0,0.0
4,0.03669724770642202,0.0061162079510703364,0.10703363914373089,0.0,0.24464831804281345,0.5290519877675841,0.0,0.0,0.07033639143730887,0.0030581039755351682,0.0030581039755351682,0.0
5,0.017543859649122806,0.0,0.0,0.0,0.7719298245614035,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
