country_name,rows
United States,985
Colombia,96
Guatemala,79
Costa Rica,75
Mexico,73
Trinidad and Tobago,63
Panama,40
Honduras,38
Jamaica,33
Nicaragua,31
Ecuador,30
El Salvador,22
Haiti,20
Venezuela,20
Dominican Republic,15
Dominica,14
Peru,14
Canada,10
Saint Lucia,8
Puerto Rico,7
Brazil,4
Saint Vincent and the Grenadines,4
Cuba,3
U.S. Virgin Islands,2
Grenada,2
Bermuda,2
Barbados,1
Belize,1
