seed,model,runtime_seconds,clusters,noise_rate,internal_metric_points,silhouette,calinski_harabasz,davies_bouldin,ari_landslide_type,nmi_landslide_type
11,DENCLUE,2.123683291996713,7,0.0017730496453900709,1689,0.6504768300638509,3219.0647116009573,0.4456245303198472,0.04114017246906174,0.08830116413545117
11,DBSCAN,0.011212083001737483,3,0.00591016548463357,1682,0.6424716824668864,3336.6231272241557,0.5051174406611255,0.09849561437504761,0.09413002803748607
11,KMeans,0.08201337500213413,7,0.0,1692,0.5475212879799816,4081.0717808544555,0.6480904234353657,0.03014943691710165,0.08365419937756269
11,GMM,0.015873124997597188,7,0.0,1692,0.5762008684666842,3756.545207554555,0.5874594754996271,0.03709258364295856,0.08282006790952567
11,MeanShift,0.0821706249989802,5,0.0,1692,0.6231347951430516,3147.9067448511714,0.5781175932211424,0.05249095189210194,0.08660215827827868
23,DENCLUE,2.030177916996763,7,0.0017730496453900709,1689,0.6504768300638509,3219.0647116009573,0.4456245303198472,0.04114017246906174,0.08830116413545117
23,DBSCAN,0.011078625000664033,3,0.00591016548463357,1682,0.6424716824668864,3336.6231272241557,0.5051174406611255,0.09849561437504761,0.09413002803748607
23,KMeans,0.04669433399976697,7,0.0,1692,0.5202150698705938,4159.053458157749,0.7212553889528969,0.027197379683622926,0.0804381659165631
23,GMM,0.024347250000573695,7,0.0,1692,0.6278209858935586,3630.715264176137,0.48831139900651427,0.027352872193042783,0.08365807364629958
23,MeanShift,0.07774045800033491,5,0.0,1692,0.6213449721536057,3122.1828054386397,0.5814029919265861,0.052787878134141646,0.08701664522511901
42,DENCLUE,2.3837028330017347,7,0.0017730496453900709,1689,0.6504768300638509,3219.0647116009573,0.4456245303198472,0.04114017246906174,0.08830116413545117
42,DBSCAN,0.01604470800521085,3,0.00591016548463357,1682,0.6424716824668864,3336.6231272241557,0.5051174406611255,0.09849561437504761,0.09413002803748607
42,KMeans,0.062810208000883,7,0.0,1692,0.5197711585496158,4125.697089589029,0.7408239286006816,0.027130036485521904,0.07973619671239018
42,GMM,0.06576120800309582,7,0.0,1692,0.5224652815293526,3313.1054099729977,0.6865866850788827,0.04396136466908664,0.08110531225448428
42,MeanShift,0.16653470799792558,5,0.0,1692,0.6229061390343167,3143.5911981867616,0.5786333219422868,0.05253909917411828,0.08661697731378391
58,DENCLUE,6.5018591249972815,7,0.0017730496453900709,1689,0.6504768300638509,3219.0647116009573,0.4456245303198472,0.04114017246906174,0.08830116413545117
58,DBSCAN,0.027330582997819874,3,0.00591016548463357,1682,0.6424716824668864,3336.6231272241557,0.5051174406611255,0.09849561437504761,0.09413002803748607
58,KMeans,0.4697999999989406,7,0.0,1692,0.5181686377571437,4163.2130596160105,0.7176974141312024,0.02737153450100123,0.07926286212566673
58,GMM,0.17136312499496853,7,0.0,1692,0.5436274550787072,3419.7395375656542,0.629538744308142,0.037257883172017475,0.0815965667116325
58,MeanShift,0.20219833399460185,5,0.0,1692,0.6229061390343167,3143.5911981867616,0.5786333219422868,0.05253909917411828,0.08661697731378391
91,DENCLUE,6.268488790999982,7,0.0017730496453900709,1689,0.6504768300638509,3219.0647116009573,0.4456245303198472,0.04114017246906174,0.08830116413545117
91,DBSCAN,0.012153165997005999,3,0.00591016548463357,1682,0.6424716824668864,3336.6231272241557,0.5051174406611255,0.09849561437504761,0.09413002803748607
91,KMeans,0.04902020800363971,7,0.0,1692,0.5480147105292111,4116.931930904311,0.7085156034583903,0.02614542476208105,0.08115421950071697
91,GMM,0.02314045900129713,7,0.0,1692,0.5927798622969103,3360.0447414323407,0.5352533761876381,0.04673797015573657,0.08589588720930087
91,MeanShift,0.14795170800061896,5,0.0,1692,0.6231347951430516,3147.9067448511714,0.5781175932211424,0.05249095189210194,0.08660215827827868
