cluster,rows,share,mean_longitude,mean_latitude,min_longitude,max_longitude,min_latitude,max_latitude,top_country_name,top_landslide_type,top_landslide_size,top_trigger
-1,3,0.0017730496453900709,-58.38623333333334,19.834766666666667,-64.7792,-45.601,-5.0804,32.3032,Bermuda,Landslide,Medium,Rain
0,673,0.39775413711583923,-82.49138261515601,39.01770683506687,-97.2688,-65.6362,28.5529,45.4257,United States,Mudslide,Small,Downpour
1,141,0.08333333333333333,-76.03779148936171,2.6110836879432626,-80.3008,-70.7016,-10.1258,11.2475,Colombia,Landslide,Medium,Downpour
2,355,0.20981087470449172,-88.59522845070423,13.56825323943662,-109.6972,-79.0896,7.5955,25.6875,Guatemala,Landslide,Medium,Downpour
3,76,0.04491725768321513,-73.59156315789473,18.63051578947368,-82.3691,-66.3319,17.9384,23.1098,Jamaica,Landslide,Medium,Downpour
4,327,0.19326241134751773,-111.00902599388378,38.6273993883792,-117.3092,-103.7826,31.3456,45.3871,United States,Mudslide,Medium,Downpour
5,114,0.0673758865248227,-62.25847368421053,11.837535087719301,-67.3097,-59.54,10.0876,18.432,Trinidad and Tobago,Landslide,Medium,Downpour
6,3,0.0017730496453900709,-50.760600000000004,-1.6579666666666666,-52.2093,-48.8907,-3.1946,-0.0568,Brazil,Mudslide,Medium,Rain
