trigger,rows
Downpour,866
Rain,446
Tropical Cyclone,131
Unknown,102
Continuous Rain,95
Snowfall Snowmelt,11
Flooding,10
Earthquake,8
Mining Digging,7
Freeze Thaw,6
Construction,5
Other,3
Dam Embankment Collapse,1
Volcano,1
