model,sigma,xi_quantile,runtime_seconds,clusters,noise_rate,internal_metric_points,silhouette,calinski_harabasz,davies_bouldin,ari_landslide_type,nmi_landslide_type,ari_vs_dbscan,nmi_vs_dbscan,eps,min_samples,n_clusters,n_components,bandwidth
DENCLUE,0.235,0.002,1.8099476670031436,7,0.0017730496453900709,1689,0.6504768300638509,3219.0647116009573,0.4456245303198472,0.04114017246906174,0.08830116413545117,0.751817203677711,0.8076599256712401,,,,,
DBSCAN,,,0.009891542002151255,3,0.00591016548463357,1682,0.6424716824668864,3336.6231272241557,0.5051174406611255,0.09849561437504761,0.09413002803748607,1.0,1.0,0.4,12.0,,,
KMeans,,,0.22070145799807506,7,0.0,1692,0.5197711585496158,4125.697089589029,0.7408239286006816,0.027130036485521904,0.07973619671239018,0.5202780371851875,0.7120565191888313,,,7.0,,
GMM,,,0.04085658300027717,7,0.0,1692,0.5224652815293526,3313.1054099729977,0.6865866850788827,0.04396136466908664,0.08110531225448428,0.6402306685050451,0.7423621134063425,,,,7.0,
MeanShift,,,0.07674612499977229,5,0.0,1692,0.6229061390343167,3143.5911981867616,0.5786333219422868,0.05253909917411828,0.08661697731378391,0.800239864232494,0.8529619765879811,,,,,0.8252118793386118
