case_id,eps,min_samples,runtime_seconds,clusters,noise_rate,internal_metric_points,ari,nmi,silhouette,selection_score,selected
spiral,0.3,15,0.001847125000494998,3,0.7852564102564102,67,0.036773832429055325,0.25522469919889335,0.7105713844522732,0.036773832429055325,False
spiral,0.25,15,0.00170116699882783,2,0.8621794871794872,43,0.02639703504182376,0.19388370808241404,0.7779516144988369,0.02639703504182376,False
spiral,0.2,10,0.0017587920010555536,3,0.8141025641025641,58,0.026101482164627793,0.22952665126798308,0.7651286506281377,0.026101482164627793,False
spiral,0.1,5,0.0019978330019512214,3,0.8205128205128205,56,0.023500568069579824,0.2233730469081222,0.7794779669012791,0.023500568069579824,False
spiral,0.15,8,0.0016917910033953376,3,0.842948717948718,49,0.018827894485975546,0.20322547325487053,0.8060001619264844,0.018827894485975546,False
spiral,0.2,15,0.0016460420010844246,2,0.8846153846153846,36,0.017217874057407063,0.16749960870105454,0.8283419858775106,0.017217874057407063,False
spiral,0.05,3,0.002095957999699749,6,0.8205128205128205,56,0.01653811325924786,0.21357742049833275,0.5255752771135677,0.01653811325924786,False
spiral,0.15,10,0.002273375001095701,2,0.8878205128205128,35,0.01614672981385414,0.16368804836621176,0.8334674150253806,0.01614672981385414,False
spiral,0.12,8,0.001528583001345396,3,0.8621794871794872,43,0.01437487116744658,0.1844172008812565,0.8356440393207613,0.01437487116744658,False
spiral,0.08,5,0.0015284999972209334,3,0.8685897435897436,41,0.013447696517022328,0.17819043727485617,0.8421140329023991,0.013447696517022328,False
spiral,0.12,10,0.0015586669978802092,2,0.9006410256410257,31,0.012016404557862827,0.14801812401473957,0.8558166144207283,0.012016404557862827,False
spiral,0.1,8,0.0015741669994895346,2,0.9038461538461539,30,0.01102193978035474,0.14398871392253648,0.8609618287400568,0.01102193978035474,False
spiral,0.1,10,0.0015224170056171715,1,0.9583333333333334,13,0.0050687929003949495,0.07355746672438282,,0.0050687929003949495,False
spiral,0.08,8,0.002027374997851439,1,0.9615384615384616,12,0.00415045919948,0.06823519538768633,,0.00415045919948,False
spiral,0.05,5,0.0015923330065561458,3,0.9455128205128205,17,0.0019608994969215446,0.08781889811972776,0.7016208177617482,0.0019608994969215446,False
spiral,0.05,8,0.0014995419987826608,0,1.0,0,0.0,0.0,,0.0,False
spiral,0.05,10,0.0022003749982104637,0,1.0,0,0.0,0.0,,0.0,False
spiral,0.05,15,0.001534624992928002,0,1.0,0,0.0,0.0,,0.0,False
spiral,0.08,10,0.0016443749991594814,0,1.0,0,0.0,0.0,,0.0,False
spiral,0.08,15,0.001555625000037253,0,1.0,0,0.0,0.0,,0.0,False
spiral,0.1,15,0.0015027909976197407,0,1.0,0,0.0,0.0,,0.0,False
spiral,0.12,15,0.0016590829982305877,0,1.0,0,0.0,0.0,,0.0,False
spiral,0.15,15,0.0017729159953887574,0,1.0,0,0.0,0.0,,0.0,False
spiral,0.55,3,0.0019299159976071678,1,0.0,312,0.0,0.0,,0.0,False
spiral,0.55,5,0.0023329999967245385,1,0.0,312,0.0,0.0,,0.0,False
spiral,0.55,8,0.0020355839951662347,1,0.0,312,0.0,0.0,,0.0,False
spiral,0.55,10,0.0019685000006575137,1,0.1891025641025641,253,-0.0020563272868824316,0.00019813935633721652,,-0.0020563272868824316,False
spiral,0.55,15,0.0018113330006599426,1,0.483974358974359,161,-0.004037875682358192,0.00020555367626539064,,-0.004037875682358192,False
