sigma,xi_quantile,runtime_seconds,candidate_ok,selection_score,clusters,noise_rate,internal_metric_points,silhouette,calinski_harabasz,davies_bouldin,ari_landslide_type,nmi_landslide_type,selected
0.5,0.01,2.008217374997912,False,-inf,3,0.0,1692,0.6379239985227488,3252.927412558053,0.5102911044603146,0.0976381219653148,0.09291499357512152,False
0.5,0.02,1.9980291669999133,False,-inf,3,0.0,1692,0.6379239985227488,3252.927412558053,0.5102911044603146,0.0976381219653148,0.09291499357512152,False
0.5,0.05,2.0161361249993206,False,-inf,3,0.0,1692,0.6379239985227488,3252.927412558053,0.5102911044603146,0.0976381219653148,0.09291499357512152,False
0.5,0.1,1.9882902090030257,False,-inf,3,0.07387706855791962,1567,0.627869773036267,2566.049366183824,0.512194438029819,0.10247244970020154,0.08987574461005271,False
0.35,0.002,1.972168000000238,False,-inf,4,0.0,1692,0.6216221966452807,3502.6988493892,0.4900876790733188,0.06626075130162243,0.08783453021277567,False
0.35,0.005,1.9699959170029615,False,-inf,4,0.0,1692,0.6216221966452807,3502.6988493892,0.4900876790733188,0.06626075130162243,0.08783453021277567,False
0.35,0.01,1.996675124995818,False,-inf,4,0.0,1692,0.6216221966452807,3502.6988493892,0.4900876790733188,0.06626075130162243,0.08783453021277567,False
0.35,0.02,2.1511505830058013,False,-inf,4,0.01950354609929078,1659,0.6148203302868238,3282.9807258023247,0.4982689567750927,0.06442685319027133,0.08854631562101017,False
0.35,0.05,2.01499358300498,False,-inf,4,0.01950354609929078,1659,0.6148203302868238,3282.9807258023247,0.4982689567750927,0.06442685319027133,0.08854631562101017,False
0.18,0.002,1.7137716249999357,False,-inf,11,0.002364066193853428,1688,0.5630816580767611,3630.735154580566,0.4865602591351139,0.028270872854549392,0.0877292710717246,False
