case_id,eps,min_samples,runtime_seconds,clusters,noise_rate,internal_metric_points,ari,nmi,silhouette,selection_score,selected
pathbased,0.3,10,0.0012175000010756776,2,0.37333333333333335,188,0.8812363734308486,0.8483047717390507,0.5978984067938515,0.8812363734308486,True
pathbased,0.25,8,0.001272249995963648,2,0.42,174,0.8032269015422462,0.781351244272684,0.6170656298971108,0.8032269015422462,False
pathbased,0.3,8,0.0012262499949429184,3,0.31666666666666665,205,0.7970526031820655,0.7801671947227761,0.44988302226126686,0.7970526031820655,False
pathbased,0.4,15,0.0013814999983878806,2,0.30333333333333334,209,0.7675700735169425,0.7526309716618268,0.5851384821443752,0.7675700735169425,False
pathbased,0.3,15,0.001323667005635798,2,0.44333333333333336,167,0.7418719510014705,0.7368572651495644,0.6289400535964982,0.7418719510014705,False
pathbased,0.25,10,0.001214291994983796,2,0.4533333333333333,164,0.7288752761651371,0.7317609045171461,0.6390188393960792,0.7288752761651371,False
pathbased,0.2,5,0.0016110419965116307,6,0.33,201,0.666213982188017,0.6733570289443569,0.577875549106507,0.666213982188017,False
pathbased,0.25,5,0.0012747919972753152,11,0.08666666666666667,274,0.5903336818621412,0.6069639162040043,0.3121702565154904,0.5903336818621412,False
pathbased,0.2,3,0.001393792001181282,15,0.07,279,0.5796094576311005,0.5937179228948297,0.24082438186391286,0.5796094576311005,False
pathbased,0.2,8,0.0013117079943185672,3,0.5366666666666666,139,0.48014133372984297,0.5642454344297554,0.5585611865454891,0.48014133372984297,False
pathbased,0.15,5,0.0013164160045562312,8,0.54,138,0.4348138075929664,0.5182689556608583,0.48502713643246576,0.4348138075929664,False
pathbased,0.15,3,0.0013334999966900796,24,0.23666666666666666,229,0.418952044068079,0.5292938292209709,0.21302270170308488,0.418952044068079,False
pathbased,0.25,15,0.0011848329959320836,2,0.6466666666666666,106,0.3520314480169435,0.4948394310191442,0.7219722902745163,0.3520314480169435,False
pathbased,0.2,10,0.0011783750014728867,3,0.65,105,0.3017227258398894,0.44254352815741343,0.624607303332774,0.3017227258398894,False
pathbased,0.12,3,0.0012926670024171472,23,0.41,177,0.30153003277651097,0.4601346091630642,0.28470896497151404,0.30153003277651097,False
pathbased,0.25,3,0.0012274170003365725,7,0.01,297,0.22064112797302068,0.4119326219803482,-0.02779619527514834,0.22064112797302068,False
pathbased,0.1,3,0.001248374996066559,21,0.59,123,0.20844943594816157,0.37375462245215735,0.38986883764794755,0.20844943594816157,False
pathbased,0.4,10,0.0013551250012824312,2,0.19666666666666666,241,0.16874461482141553,0.3225673012899833,0.5161927100142792,0.16874461482141553,False
pathbased,0.55,15,0.0015676249968237244,1,0.2,240,0.14284627702108404,0.31040300579295466,,0.14284627702108404,False
pathbased,0.12,5,0.0012746659995173104,7,0.73,81,0.11760927120740385,0.31305773948771054,0.5425472502353789,0.11760927120740385,False
pathbased,0.15,8,0.0012660830034292303,4,0.7866666666666666,64,0.09889589260691334,0.2850273407863271,0.6067882034571408,0.09889589260691334,False
pathbased,0.08,3,0.0012462090016924776,22,0.7366666666666667,79,0.09020300367049544,0.26707423464321234,0.583084148671665,0.09020300367049544,False
pathbased,0.4,8,0.001327915997535456,3,0.08666666666666667,274,0.07892725183887964,0.25249289084928256,0.3717789828053104,0.07892725183887964,False
pathbased,0.1,5,0.0013691669955733232,5,0.8466666666666667,46,0.04618870057203594,0.21123725017335318,0.5900568686540048,0.04618870057203594,False
pathbased,0.2,15,0.0011376250040484592,2,0.8766666666666667,37,0.039834143384186955,0.188968854956368,0.8775180394113333,0.039834143384186955,False
pathbased,0.15,10,0.0012666249967878684,2,0.9333333333333333,20,0.014087198954526512,0.11252186064094874,0.9215430559179735,0.014087198954526512,False
pathbased,0.12,8,0.0014636249979957938,1,0.9733333333333334,8,0.00450051883125088,0.05066748845438826,,0.00450051883125088,False
pathbased,0.05,3,0.0016627080040052533,2,0.98,6,0.0023983514359818417,0.03810176646264455,0.905010149546103,0.0023983514359818417,False
pathbased,0.3,3,0.0012764999992214143,1,0.01,297,0.0009845544228621256,0.01978591281406589,,0.0009845544228621256,False
pathbased,0.4,5,0.0013563750035245903,1,0.0033333333333333335,299,0.0002365219381922123,0.006751460705693545,,0.0002365219381922123,False
pathbased,0.05,5,0.0013587499997811392,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.05,8,0.001262332996702753,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.05,10,0.0012160000042058527,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.05,15,0.001193083000543993,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.08,5,0.0013429999962681904,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.08,8,0.0012305419950280339,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.08,10,0.001240291996509768,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.08,15,0.0012061660017934628,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.1,8,0.0012730840026051737,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.1,10,0.0012529170053312555,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.1,15,0.0012317080036154948,0,1.0,0,0.0,0.0,,0.0,False
pathbased,0.12,10,0.0012934580008732155,0,1.0,0,0.0,0.0,,0.0,False
