landslide_type,rows
Landslide,867
Mudslide,638
Rockfall,70
Complex,48
Debris Flow,38
Other,14
Riverbank Collapse,5
Creep,5
Lahar,2
Snow Avalanche,2
Unknown,2
Rockslide,1
