case_id,sigma,xi_quantile,runtime_seconds,clusters,noise_rate,internal_metric_points,ari,nmi,silhouette,selection_score,selected
pathbased,0.2,0.1,0.0671364169975277,7,0.11666666666666667,265,0.5582359191608743,0.5853973350869001,0.439622550357159,0.5582359191608743,True
pathbased,0.2,0.05,0.0689074579931912,9,0.06666666666666667,280,0.5390888987373782,0.5624874143459455,0.39626363371193835,0.5390888987373782,False
pathbased,0.2,0.02,0.06530054099857807,10,0.043333333333333335,287,0.5343634720320593,0.5546031741805838,0.3931537686669323,0.5343634720320593,False
pathbased,0.2,0.005,0.06660700000065845,11,0.03,291,0.5326178234445357,0.5501120010803559,0.36001285317612236,0.5326178234445357,False
pathbased,0.2,0.01,0.06482854200294241,11,0.03,291,0.5326178234445357,0.5501120010803559,0.36001285317612236,0.5326178234445357,False
pathbased,0.2,0.0,0.06622950000019046,12,0.016666666666666666,295,0.5318318458257416,0.5475353598199255,0.32647137789142,0.5318318458257416,False
pathbased,0.24,0.1,0.10738766599388327,5,0.11,267,0.5306918122618531,0.5821758316886891,0.5301410336509605,0.5306918122618531,False
pathbased,0.24,0.05,0.1629136670017033,7,0.06,282,0.511699540036469,0.5568149467055107,0.4533885008205118,0.511699540036469,False
pathbased,0.24,0.02,0.16948508299537934,8,0.03666666666666667,289,0.5071552488732005,0.5480680992416332,0.40525497710681263,0.5071552488732005,False
pathbased,0.24,0.005,0.07509500000014668,9,0.023333333333333334,293,0.505499835356635,0.5429554303031973,0.3689398363669108,0.505499835356635,False
pathbased,0.24,0.01,0.10528337499999907,9,0.023333333333333334,293,0.505499835356635,0.5429554303031973,0.3689398363669108,0.505499835356635,False
pathbased,0.24,0.0,0.07132541700411821,10,0.01,297,0.504789890813089,0.5396180429848716,0.36550999332924267,0.504789890813089,False
pathbased,0.3,0.1,0.09544387500500306,4,0.11,267,0.502169322641535,0.5679025872853659,0.5114116705827662,0.502169322641535,False
pathbased,0.16,0.1,0.053727833001175895,16,0.11,267,0.4933879650629276,0.6103588388817943,0.30825707051179,0.4933879650629276,False
pathbased,0.3,0.05,0.0900551250015269,6,0.06,282,0.483610553014949,0.5415977450247057,0.4442173440654259,0.483610553014949,False
pathbased,0.3,0.02,0.08806795899727149,6,0.03666666666666667,289,0.4812840920479486,0.538899053628885,0.4383887904117662,0.4812840920479486,False
pathbased,0.3,0.0,0.10258133299794281,7,0.01,297,0.47988673370764606,0.534090663621678,0.40089709504005433,0.47988673370764606,False
pathbased,0.3,0.005,0.08764137500111246,7,0.016666666666666666,295,0.4795372202771802,0.5332538289922104,0.3981741853076672,0.4795372202771802,False
pathbased,0.3,0.01,0.10389433400268899,7,0.02,294,0.4795372202771802,0.5332538289922104,0.3934048185981503,0.4795372202771802,False
pathbased,0.16,0.05,0.05385016599757364,19,0.06,282,0.47348230367079397,0.5901931531862642,0.3139976479967524,0.47348230367079397,False
pathbased,0.16,0.01,0.0530282920008176,21,0.03,291,0.4686253009978677,0.5826760877283979,0.3140736276163633,0.4686253009978677,False
pathbased,0.16,0.02,0.05551562499749707,21,0.03,291,0.4686253009978677,0.5826760877283979,0.3140736276163633,0.4686253009978677,False
pathbased,0.16,0.005,0.059232833998976275,22,0.02,294,0.4682028447923708,0.5798413838739344,0.30722195388840495,0.4682028447923708,False
pathbased,0.16,0.0,0.05667745899700094,22,0.013333333333333334,296,0.4681819754873616,0.5819297063167856,0.3055217650924017,0.4681819754873616,False
pathbased,0.4,0.1,0.09666029100480955,2,0.10666666666666667,268,0.4582113114277121,0.5432854964303797,0.5197121064745726,0.4582113114277121,False
pathbased,0.4,0.005,0.08192550000239862,3,0.02,294,0.44943754199870517,0.5300075052786394,0.5114167796534376,0.44943754199870517,False
pathbased,0.4,0.01,0.07771695800329326,3,0.02,294,0.44943754199870517,0.5300075052786394,0.5114167796534376,0.44943754199870517,False
pathbased,0.4,0.0,0.09272329200030072,4,0.01,297,0.44893003339305965,0.5265417596085741,0.4297080758328241,0.44893003339305965,False
pathbased,0.4,0.02,0.08646295800281223,3,0.023333333333333334,293,0.44836596435114356,0.5288626444580657,0.5120424268022874,0.44836596435114356,False
pathbased,0.4,0.05,0.09596283399878303,3,0.05,285,0.44384693730426567,0.5244663445990178,0.5148455053285648,0.44384693730426567,False
pathbased,0.12,0.1,0.0551552909964812,30,0.11333333333333333,266,0.19844631124890608,0.4683382645378864,0.36202205715801866,0.19844631124890608,False
pathbased,0.12,0.0,0.11990295800205786,34,0.06333333333333334,281,0.1935150638840018,0.469055344619014,0.35224789985096416,0.1935150638840018,False
pathbased,0.12,0.005,0.07345604100555647,34,0.06333333333333334,281,0.1935150638840018,0.469055344619014,0.35224789985096416,0.1935150638840018,False
pathbased,0.12,0.01,0.07214462499541696,34,0.06333333333333334,281,0.1935150638840018,0.469055344619014,0.35224789985096416,0.1935150638840018,False
pathbased,0.12,0.02,0.06944350000412669,34,0.06333333333333334,281,0.1935150638840018,0.469055344619014,0.35224789985096416,0.1935150638840018,False
pathbased,0.12,0.05,0.05492379199858988,33,0.07666666666666666,277,0.1930401284961053,0.4668440779427686,0.35656540730874997,0.1930401284961053,False
pathbased,0.1,0.1,0.08394583300105296,36,0.15333333333333332,254,0.15042987594124446,0.44414079969029957,0.41637152657665905,0.15042987594124446,False
pathbased,0.1,0.05,0.11299904100451386,38,0.13,261,0.1378062275109996,0.43944516341242146,0.41185204147813986,0.1378062275109996,False
pathbased,0.1,0.0,0.06919929199648323,40,0.11,267,0.1368672164741047,0.44353499273757263,0.4050446946866912,0.1368672164741047,False
pathbased,0.1,0.005,0.06496100000367733,40,0.11,267,0.1368672164741047,0.44353499273757263,0.4050446946866912,0.1368672164741047,False
pathbased,0.1,0.01,0.075274916998751,40,0.11,267,0.1368672164741047,0.44353499273757263,0.4050446946866912,0.1368672164741047,False
pathbased,0.1,0.02,0.08744075000140583,40,0.11,267,0.1368672164741047,0.44353499273757263,0.4050446946866912,0.1368672164741047,False
pathbased,0.08,0.0,0.07000058300036471,40,0.23666666666666666,229,0.12249247774732044,0.40988452612825527,0.42182910703733056,0.12249247774732044,False
pathbased,0.08,0.005,0.06174733299849322,40,0.23666666666666666,229,0.12249247774732044,0.40988452612825527,0.42182910703733056,0.12249247774732044,False
pathbased,0.08,0.01,0.05770762499741977,40,0.23666666666666666,229,0.12249247774732044,0.40988452612825527,0.42182910703733056,0.12249247774732044,False
pathbased,0.08,0.02,0.0625480829985463,40,0.23666666666666666,229,0.12249247774732044,0.40988452612825527,0.42182910703733056,0.12249247774732044,False
