case_id,sigma,xi_quantile,runtime_seconds,clusters,noise_rate,internal_metric_points,ari,nmi,silhouette,selection_score,selected
spiral,0.2,0.01,0.15721387499797856,30,0.22435897435897437,242,0.14287587498827078,0.42946731862152926,0.48414809536212977,0.14287587498827078,True
spiral,0.2,0.005,0.16682795800443273,31,0.21474358974358973,245,0.14109080921997066,0.42910110012788943,0.48713025182527003,0.14109080921997066,False
spiral,0.2,0.02,0.1501126250004745,30,0.23076923076923078,240,0.14063836247414305,0.42704599688012895,0.4847740613941422,0.14063836247414305,False
spiral,0.2,0.0,0.13673116599966306,31,0.20833333333333334,247,0.14063493523999243,0.42990233541774503,0.48591668138398386,0.14063493523999243,False
spiral,0.2,0.05,0.14852633299597073,28,0.25961538461538464,231,0.13462042998760754,0.4209903964656005,0.48395183884467047,0.13462042998760754,False
spiral,0.2,0.1,0.1248477080007433,26,0.27884615384615385,225,0.13147038018847654,0.41829528806488175,0.48272350947680354,0.13147038018847654,False
spiral,0.24,0.01,0.1654939590007416,19,0.13141025641025642,271,0.11675622250652203,0.3363929762071666,0.26335296757863225,0.11675622250652203,False
spiral,0.24,0.005,0.15353787499770988,20,0.11858974358974358,275,0.11497181869313841,0.33760510292688656,0.26537569288652124,0.11497181869313841,False
spiral,0.24,0.0,0.16199979100201745,20,0.11217948717948718,277,0.11494343203753113,0.3393061631262936,0.265388313651453,0.11494343203753113,False
spiral,0.24,0.02,0.1448995839964482,19,0.14102564102564102,268,0.11455288013545589,0.33143285660670774,0.2641747943419782,0.11455288013545589,False
spiral,0.24,0.05,0.14876262500183657,17,0.1762820512820513,257,0.1083888479336434,0.31594734490501214,0.25661964490768435,0.1083888479336434,False
spiral,0.24,0.1,0.14874587499798508,15,0.1987179487179487,250,0.10732279763739491,0.30953144226035784,0.2483707829788068,0.10732279763739491,False
spiral,0.16,0.01,0.14845954200427514,34,0.28525641025641024,223,0.1062391077865543,0.3977842439885753,0.5225035937544422,0.1062391077865543,False
spiral,0.16,0.02,0.17148416699637892,33,0.2948717948717949,220,0.10587687515934978,0.3969084314554174,0.5193913786313503,0.10587687515934978,False
spiral,0.16,0.005,0.0904772080029943,35,0.2724358974358974,227,0.105195957957027,0.39862035829129144,0.5246947381904606,0.105195957957027,False
spiral,0.16,0.0,0.10919874999672174,35,0.266025641025641,229,0.10495312346465302,0.39965084303439496,0.5230230259363099,0.10495312346465302,False
spiral,0.16,0.05,0.1691910830049892,32,0.3076923076923077,216,0.10139435076063667,0.3933329800219604,0.5170931859556187,0.10139435076063667,False
spiral,0.16,0.1,0.16144104099657852,30,0.3269230769230769,210,0.09845654224049419,0.39046026070018697,0.5191913811926073,0.09845654224049419,False
spiral,0.12,0.01,0.12798608400044031,41,0.32371794871794873,211,0.06803120619195249,0.36748661093351304,0.5664845812894881,0.06803120619195249,False
spiral,0.12,0.02,0.11289158400177257,41,0.32371794871794873,211,0.06803120619195249,0.36748661093351304,0.5664845812894881,0.06803120619195249,False
spiral,0.12,0.05,0.11938629100040998,41,0.32371794871794873,211,0.06803120619195249,0.36748661093351304,0.5664845812894881,0.06803120619195249,False
spiral,0.12,0.0,0.14128066699777264,42,0.3108974358974359,215,0.06680550280119286,0.368631062848752,0.5684500666339637,0.06680550280119286,False
spiral,0.12,0.005,0.15384920799988322,42,0.3108974358974359,215,0.06680550280119286,0.368631062848752,0.5684500666339637,0.06680550280119286,False
spiral,0.12,0.1,0.10384629100008169,38,0.3525641025641026,202,0.06282231571768425,0.36189453628260765,0.5657918962221478,0.06282231571768425,False
spiral,0.1,0.1,0.1267027079957188,38,0.38782051282051283,191,0.0494963537685874,0.3488631821201425,0.593243562340195,0.0494963537685874,False
spiral,0.1,0.0,0.12678241600224283,40,0.3685897435897436,197,0.04921971555984519,0.3511122650955084,0.5922872165573273,0.04921971555984519,False
spiral,0.1,0.005,0.09171037499618251,40,0.3685897435897436,197,0.04921971555984519,0.3511122650955084,0.5922872165573273,0.04921971555984519,False
spiral,0.1,0.01,0.1478846660029376,40,0.3685897435897436,197,0.04921971555984519,0.3511122650955084,0.5922872165573273,0.04921971555984519,False
spiral,0.1,0.02,0.16002775000379188,40,0.3685897435897436,197,0.04921971555984519,0.3511122650955084,0.5922872165573273,0.04921971555984519,False
spiral,0.1,0.05,0.09551270899828523,40,0.3685897435897436,197,0.04921971555984519,0.3511122650955084,0.5922872165573273,0.04921971555984519,False
spiral,0.08,0.0,0.15310875000432134,40,0.391025641025641,190,0.04468081295379664,0.34412281369375075,0.5573937892848105,0.04468081295379664,False
spiral,0.08,0.005,0.09614983400388155,40,0.391025641025641,190,0.04468081295379664,0.34412281369375075,0.5573937892848105,0.04468081295379664,False
spiral,0.08,0.01,0.16794695800490445,40,0.391025641025641,190,0.04468081295379664,0.34412281369375075,0.5573937892848105,0.04468081295379664,False
spiral,0.08,0.02,0.10933783300424693,40,0.391025641025641,190,0.04468081295379664,0.34412281369375075,0.5573937892848105,0.04468081295379664,False
spiral,0.08,0.05,0.16014916700078174,40,0.391025641025641,190,0.04468081295379664,0.34412281369375075,0.5573937892848105,0.04468081295379664,False
spiral,0.08,0.1,0.14962016599747585,39,0.40064102564102566,187,0.04361936526100696,0.3424865844863332,0.5549879233177996,0.04361936526100696,False
