eps,min_samples,runtime_seconds,candidate_ok,selection_score,clusters,noise_rate,internal_metric_points,silhouette,calinski_harabasz,davies_bouldin,ari_landslide_type,nmi_landslide_type,selected
0.4,12,0.009891542002151255,True,0.6365615169822528,3,0.00591016548463357,1682,0.6424716824668864,3336.6231272241557,0.5051174406611255,0.09849561437504761,0.09413002803748607,True
0.2,12,0.009908457999699749,True,0.6329707213969308,7,0.014184397163120567,1668,0.6471551185600514,3411.4855265081087,0.4473477182295062,0.03895728436653199,0.08587050821488758,False
0.2,8,0.007689207996008918,True,0.6339605591659772,7,0.013002364066193853,1670,0.646962923232171,3409.64673007738,0.44751649238887165,0.03890298147555349,0.08581668738472388,False
0.2,10,0.009230540999851655,True,0.6339605591659772,7,0.013002364066193853,1670,0.646962923232171,3409.64673007738,0.44751649238887165,0.03890298147555349,0.08581668738472388,False
0.35,10,0.009597875003237277,True,0.6364823805933925,3,0.0070921985815602835,1680,0.6435745791749528,3353.9827197483446,0.5037422642217745,0.09879732910261652,0.09406869522552325,False
0.35,12,0.01018041699717287,True,0.6364823805933925,3,0.0070921985815602835,1680,0.6435745791749528,3353.9827197483446,0.5037422642217745,0.09879732910261652,0.09406869522552325,False
0.2,5,0.009042750003573019,True,0.6341037712857265,7,0.009456264775413711,1676,0.6435600360611402,3343.345505125544,0.4491067663455169,0.03996347797058331,0.08683428126590727,False
0.35,8,0.009814958000788465,True,0.6356647103577536,3,0.00591016548463357,1682,0.6415748758423871,3304.019383279435,0.5062964888113767,0.09761945167126825,0.09322996841119971,False
0.35,5,0.009953332999430131,True,0.6359437132670412,3,0.005319148936170213,1683,0.6412628622032115,3302.803773038529,0.5066469319941608,0.09773749384668598,0.09347513535063233,False
0.4,8,0.00999779099947773,True,0.6357505310207472,3,0.004728132387706856,1684,0.640478663408454,3287.292359044392,0.5076678179521082,0.09731974458528352,0.09340381073707496,False
0.4,10,0.01007312499859836,True,0.6357505310207472,3,0.004728132387706856,1684,0.640478663408454,3287.292359044392,0.5076678179521082,0.09731974458528352,0.09340381073707496,False
0.4,5,0.010024707997217774,True,0.6356084533634552,3,0.004137115839243499,1685,0.6397455692026986,3281.9005260260274,0.5082864078918928,0.09652767527529704,0.0928470058652137,False
0.5,12,0.010872499995457474,True,0.6354448926323026,3,0.0035460992907801418,1686,0.6389909919230827,3276.2142077421818,0.5089216080751974,0.0965895123420334,0.0928666740659551,False
0.3,8,0.00924125000165077,True,0.6035284573125512,4,0.0070921985815602835,1680,0.6106206558941115,3476.012102092347,0.6262824056010216,0.063193040449459,0.09072728316284888,False
0.3,10,0.009256708995962981,True,0.6035284573125512,4,0.0070921985815602835,1680,0.6106206558941115,3476.012102092347,0.6262824056010216,0.063193040449459,0.09072728316284888,False
0.3,12,0.009136833999946248,True,0.6035284573125512,4,0.0070921985815602835,1680,0.6106206558941115,3476.012102092347,0.6262824056010216,0.063193040449459,0.09072728316284888,False
0.3,5,0.009185791001073085,True,0.6030709897830703,4,0.0065011820330969266,1681,0.6095721718161672,3448.3382850866074,0.6272081843628097,0.06260321051316188,0.09004453387729792,False
0.25,10,0.008319707994814962,True,0.5612167266811395,6,0.009456264775413711,1676,0.5706729914565533,2538.6093375368764,0.531899493810622,0.05538929038969025,0.08910297388126304,False
0.25,12,0.008387166999455076,True,0.5612167266811395,6,0.009456264775413711,1676,0.5706729914565533,2538.6093375368764,0.531899493810622,0.05538929038969025,0.08910297388126304,False
0.25,5,0.008746624997002073,True,0.5605244552512166,6,0.008274231678486997,1678,0.5687986869297036,2506.3007207115243,0.5336391578987475,0.056240593002064285,0.08970460504037958,False
0.25,8,0.008748416999878827,True,0.5605244552512166,6,0.008274231678486997,1678,0.5687986869297036,2506.3007207115243,0.5336391578987475,0.056240593002064285,0.08970460504037958,False
0.5,10,0.010559334004938137,True,0.37529111054607706,2,0.0035460992907801418,1686,0.3788372098368572,540.518531568451,1.2185194970697322,0.015478599785969003,0.030864705289027006,False
0.5,5,0.010706125001888722,False,-inf,1,0.0035460992907801418,1686,,,,0.0006084050796039608,0.003919318582316799,False
0.5,8,0.01094145800016122,False,-inf,1,0.0035460992907801418,1686,,,,0.0006084050796039608,0.003919318582316799,False
0.65,5,0.012137416997575201,False,-inf,1,0.0035460992907801418,1686,,,,0.0006084050796039608,0.003919318582316799,False
0.65,8,0.011990792001597583,False,-inf,1,0.0035460992907801418,1686,,,,0.0006084050796039608,0.003919318582316799,False
0.65,10,0.012066834002325777,False,-inf,1,0.0035460992907801418,1686,,,,0.0006084050796039608,0.003919318582316799,False
0.65,12,0.011849082999106031,False,-inf,1,0.0035460992907801418,1686,,,,0.0006084050796039608,0.003919318582316799,False
